,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year,Imdb Year,Imdb Rating,Meta Score
0,1,300,WB,210614939,3280,70885301,3103,3/9/07,300,2007,2006,7.7,52
1,2,300: Rise of An Empire,WB,106580051,3490,45038460,3470,3/7/14,300,2014,2014,6.2,48
2,1,Alice in Wonderland (2010),BV,334191110,3739,116101023,3728,3/5/10,Alice in Wonderland,2010,2010,6.5,53
3,2,Alice Through the Looking Glass,BV,77041381,3763,26858726,3763,5/27/16,Alice in Wonderland,2016,2016,6.2,34
4,1,Alvin and the Chipmunks: The Squeakquel,Fox,219614612,3747,48875415,3700,12/23/09,Alvin and the Chipmunks,2009,2009,4.5,41
5,2,Alvin and the Chipmunks,Fox,217326974,3499,44307417,3475,12/14/07,Alvin and the Chipmunks,2007,2007,5.2,39
6,3,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,3734,23244744,3723,12/16/11,Alvin and the Chipmunks,2011,2011,4.4,24
7,4,Alvin and the Chipmunks: The Road Chip,Fox,85886987,3705,14287159,3653,12/18/15,Alvin and the Chipmunks,2015,2015,5.1,33
8,5,The Chipmunk Adventure,Gold.,6804312,916,2584720,916,5/22/87,Alvin and the Chipmunks,1987,1987,7.2,0
9,1,American Pie 2,Uni.,145103595,3157,45117985,3063,8/10/01,American Pie,2001,2001,6.4,43
10,2,American Wedding,Uni.,104565114,3175,33369440,3172,8/1/03,American Pie,2003,2003,6.3,43
11,3,American Pie,Uni.,102561004,2544,18709680,2508,7/9/99,American Pie,1999,1999,7.0,58
12,4,American Reunion,Uni.,57011521,3203,21514080,3192,4/6/12,American Pie,2012,2012,6.7,49
13,1,Austin Powers in Goldmember,NL,213307889,3613,73071188,3613,7/26/02,Austin Powers,2002,2002,6.2,62
14,2,Austin Powers: The Spy Who Shagged Me,NL,206040086,3314,54917604,3312,6/11/99,Austin Powers,1999,1999,6.6,59
15,3,Austin Powers: International Man of Mystery,NL,53883989,2187,9548111,2187,5/2/97,Austin Powers,1997,1997,7.0,51
16,1,Avengers: Infinity War,BV,672913479,4474,257698183,4474,4/27/18,Avengers,2018,2018,8.7,68
17,2,Marvel's The Avengers,BV,623357910,4349,207438708,4349,5/4/12,Avengers,2012,2012,8.1,69
18,3,Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,5/1/15,Avengers,2015,2015,7.4,66
19,1,Back to the Future,Uni.,210609762,1550,11152500,1420,7/3/85,Back to the Future,1985,1985,8.5,86
20,2,Back to the Future Part II,Uni.,118450002,2107,27835125,1865,11/22/89,Back to the Future,1989,1989,7.8,57
21,3,Back to the Future Part III,Uni.,87727583,2070,19089645,2019,5/25/90,Back to the Future,1990,1990,7.4,55
22,1,Bad Boys II,Sony,138608444,3202,46522560,3186,7/18/03,Bad Boys,2003,2003,6.6,38
23,2,Bad Boys,Sony,65807024,2132,15523358,2132,4/7/95,Bad Boys,1995,1995,6.8,41
24,1,The Dark Knight,WB,533345358,4366,158411483,4366,7/18/08,Batman,2008,2008,9.0,82
25,2,The Dark Knight Rises,WB,448139099,4404,160887295,4404,7/20/12,Batman,2012,2012,8.4,78
26,3,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/16,Batman,2016,2016,6.6,44
27,4,Batman,WB,251188924,2201,40489746,2194,6/23/89,Batman,1989,1966,7.6,69
28,5,Batman Begins,WB,205343774,3858,48745440,3858,6/15/05,Batman,2005,2005,8.3,70
29,6,Batman Forever,WB,184031112,2893,52784433,2842,6/16/95,Batman,1995,1995,5.4,51
30,7,The LEGO Batman Movie,WB,175750384,4088,53003468,4088,2/10/17,Batman,2017,2017,7.3,75
31,8,Batman Returns,WB,162831698,2644,45687711,2644,6/19/92,Batman,1992,1992,7.0,68
32,9,Batman and Robin,WB,107325195,2942,42872605,2934,6/20/97,Batman,1997,1997,3.7,28
33,10,Batman: Mask of the Phantasm,WB,5617391,1506,1189975,1506,12/25/93,Batman,1993,1993,7.9,0
34,11,Batman: The Killing Joke,Fathom,3775000,1325,0,0,7/25/16,Batman,2016,2016,6.5,0
35,1,Beverly Hills Cop,Par.,234760478,2006,15214805,1532,12/5/84,Beverly Hills Cop,1984,1984,7.3,64
36,2,Beverly Hills Cop II,Par.,153665036,2326,26348555,2326,5/20/87,Beverly Hills Cop,1987,1987,6.5,48
37,3,Beverly Hills Cop III,Par.,42614912,2748,12426169,2748,5/25/94,Beverly Hills Cop,1994,1994,5.5,16
38,1,The Bourne Ultimatum,Uni.,227471070,3701,69283690,3660,8/3/07,Bourne,2007,2007,8.0,85
39,2,The Bourne Supremacy,Uni.,176241941,3304,52521865,3165,7/23/04,Bourne,2004,2004,7.8,73
40,3,Jason Bourne,Uni.,162434410,4039,59215365,4026,7/29/16,Bourne,2016,2016,6.6,58
41,4,The Bourne Identity,Uni.,121661683,2663,27118640,2638,6/14/02,Bourne,2002,2002,7.9,68
42,5,The Bourne Legacy,Uni.,113203870,3753,38142825,3745,8/10/12,Bourne,2012,2012,6.7,61
43,1,Captain America: Civil War,BV,408084349,4226,179139142,4226,5/6/16,Captain America,2016,2016,7.8,75
44,2,Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,4/4/14,Captain America,2014,2014,7.8,70
45,3,Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/11,Captain America,2011,2011,6.9,66
46,1,Cars,BV,244082982,3988,60119509,3985,6/9/06,Cars,2006,2006,7.1,73
47,2,Cars 2,BV,191452396,4115,66135507,4115,6/24/11,Cars,2011,2011,6.2,57
48,3,Cars 3,BV,152901115,4256,53688680,4256,6/16/17,Cars,2017,2017,6.8,59
49,1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,291710957,3853,65556312,3616,12/9/05,The Chronicles of Narnia,2005,2005,6.9,75
50,2,The Chronicles of Narnia: Prince Caspian,BV,141621490,3929,55034805,3929,5/16/08,The Chronicles of Narnia,2008,2008,6.5,62
51,3,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104386950,3555,24005069,3555,12/10/10,The Chronicles of Narnia,2010,2010,6.3,53
52,1,Cloudy with a Chance of Meatballs,Sony,124870275,3119,30304648,3119,9/18/09,Cloudy with a Chance of Meatballs,2009,2009,7.0,66
53,2,Cloudy with a Chance of Meatballs 2,Sony,119793567,4001,34017930,4001,9/27/13,Cloudy with a Chance of Meatballs,2013,2013,6.4,59
54,1,The Conjuring,WB (NL),137400141,3115,41855326,2903,7/19/13,The Conjuring,2013,2013,7.5,68
55,2,The Conjuring 2,WB (NL),102470008,3356,40406314,3343,6/10/16,The Conjuring,2016,2016,7.4,65
56,3,Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,8/11/17,The Conjuring,2017,2017,6.6,62
57,4,Annabelle,WB (NL),84273813,3215,37134255,3185,10/3/14,The Conjuring,2014,2014,5.4,37
58,1,Crocodile Dundee,Par.,174803506,1495,8038855,879,9/26/86,Crocodile Dundee,1986,1986,6.5,62
59,2,Crocodile Dundee II,Par.,109306210,2837,24462976,2837,5/25/88,Crocodile Dundee,1988,1988,5.5,41
60,3,Crocodile Dundee in Los Angeles,Par.,25635682,2166,7714362,2123,4/20/01,Crocodile Dundee,2001,2001,4.8,37
61,1,Daddy's Home,Par.,150357137,3483,38740203,3271,12/25/15,Daddy's Home,2015,2015,6.1,42
62,2,Daddy's Home 2,Par.,104029443,3575,29651193,3575,11/10/17,Daddy's Home,2017,2017,6.0,30
63,1,The Dark Knight,WB,533345358,4366,158411483,4366,7/18/08,The Dark Knight Trilogy,2008,2008,9.0,82
64,2,The Dark Knight Rises,WB,448139099,4404,160887295,4404,7/20/12,The Dark Knight Trilogy,2012,2012,8.4,78
65,3,Batman Begins,WB,205343774,3858,48745440,3858,6/15/05,The Dark Knight Trilogy,2005,2005,8.3,70
66,1,Wonder Woman,WB,412563408,4165,103251471,4165,6/2/17,DC Extended Universe,2017,2017,7.5,76
67,2,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/16,DC Extended Universe,2016,2016,6.6,44
68,3,Suicide Squad,WB,325100054,4255,133682248,4255,8/5/16,DC Extended Universe,2016,2016,6.1,40
69,4,Man of Steel,WB,291045518,4207,116619362,4207,6/14/13,DC Extended Universe,2013,2013,7.1,55
70,5,Justice League,WB,229024295,4051,93842239,4051,11/17/17,DC Extended Universe,2017,2017,6.6,45
71,1,Deadpool,Fox,363070709,3856,132434639,3558,2/12/16,Deadpool,2016,2016,8.0,65
72,2,Deadpool 2,Fox,311082941,4349,125507153,4349,5/18/18,Deadpool,2018,2018,8.1,66
73,1,Despicable Me 2,Uni.,368061265,4003,83517315,3997,7/3/13,Despicable Me,2013,2013,7.4,62
74,2,Minions,Uni.,336045770,4311,115718405,4301,7/10/15,Despicable Me,2015,2015,6.4,56
75,3,Despicable Me 3,Uni.,264624300,4535,72434025,4529,6/30/17,Despicable Me,2017,2017,6.3,49
76,4,Despicable Me,Uni.,251513985,3602,56397125,3476,7/9/10,Despicable Me,2010,2010,7.7,72
77,1,Live Free or Die Hard,Fox,134529403,3411,33369559,3408,6/27/07,Die Hard,2007,2007,7.2,69
78,2,Die Hard 2: Die Harder,Fox,117540947,2507,21744661,2507,7/6/90,Die Hard,1990,1990,7.1,67
79,3,Die Hard: With A Vengeance,Fox,100012499,2579,22162245,2525,5/19/95,Die Hard,1995,1995,7.6,58
80,4,Die Hard,Fox,83008852,1713,601851,21,7/15/88,Die Hard,1988,1988,8.2,70
81,5,A Good Day to Die Hard,Fox,67349198,3555,24834845,3553,2/14/13,Die Hard,2013,2013,5.3,28
82,1,Beauty and the Beast (2017),BV,504014165,4210,174750616,4210,3/17/17,Disney Live Action Reimaginings,2017,2017,7.2,65
83,2,The Jungle Book (2016),BV,364001123,4144,103261464,4028,4/15/16,Disney Live Action Reimaginings,2016,2016,7.4,77
84,3,Alice in Wonderland (2010),BV,334191110,3739,116101023,3728,3/5/10,Disney Live Action Reimaginings,2010,2010,6.5,53
85,4,Maleficent,BV,241410378,3948,69431298,3948,5/30/14,Disney Live Action Reimaginings,2014,2014,7.0,56
86,5,Oz The Great and Powerful,BV,234911825,3912,79110453,3912,3/8/13,Disney Live Action Reimaginings,2013,2013,6.3,44
87,6,Cinderella (2015),BV,201151353,3848,67877361,3845,3/13/15,Disney Live Action Reimaginings,2015,2015,6.9,67
88,7,101 Dalmatians (1996),BV,136189294,2901,33504025,2794,11/27/96,Disney Live Action Reimaginings,1996,1996,5.7,49
89,8,Alice Through the Looking Glass,BV,77041381,3763,26858726,3763,5/27/16,Disney Live Action Reimaginings,2016,2016,6.2,34
90,9,Pete's Dragon (2016),BV,76233151,3702,21514095,3702,8/12/16,Disney Live Action Reimaginings,2016,2016,6.7,71
91,1,Divergent,LG/S,150947895,3936,54607747,3936,3/21/14,Divergent,2014,2014,6.7,48
92,2,The Divergent Series: Insurgent,LG/S,130179072,3875,52263680,3875,3/20/15,Divergent,2015,2015,6.2,42
93,3,The Divergent Series: Allegiant,LG/S,66184051,3740,29027348,3740,3/18/16,Divergent,2016,2016,5.7,33
94,1,Fantastic Four (2005),Fox,154696080,3619,56061504,3602,7/8/05,Fantastic Four,2005,2005,5.7,40
95,2,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,3963,58051684,3959,6/15/07,Fantastic Four,2007,2007,5.6,45
96,3,Fantastic Four,Fox,56117548,4004,25685737,3995,8/7/15,Fantastic Four,2015,2015,4.3,27
97,1,Furious 7,Uni.,353007020,4022,147187040,4004,4/3/15,The Fast and the Furious,2015,2015,7.2,67
98,2,Fast & Furious 6,Uni.,238679850,3771,97375245,3658,5/24/13,The Fast and the Furious,2013,2013,7.1,61
99,3,The Fate of the Furious,Uni.,226008385,4329,98786705,4310,4/14/17,The Fast and the Furious,2017,2017,6.7,56
100,4,Fast Five,Uni.,209837675,3793,86198765,3644,4/29/11,The Fast and the Furious,2011,2011,7.3,66
101,5,Fast and Furious,Uni.,155064265,3674,70950500,3461,4/3/09,The Fast and the Furious,2009,2001,6.6,46
102,6,The Fast and the Furious,Uni.,144533925,2899,40089015,2628,6/22/01,The Fast and the Furious,2001,2001,6.7,58
103,7,2 Fast 2 Furious,Uni.,127154901,3418,50472480,3408,6/6/03,The Fast and the Furious,2003,2003,5.9,38
104,8,The Fast and the Furious: Tokyo Drift,Uni.,62514415,3030,23973840,3027,6/16/06,The Fast and the Furious,2006,2006,6.0,45
105,1,Fifty Shades of Grey,Uni.,166167230,3655,85171450,3646,2/13/15,Fifty Shades,2015,2015,4.1,46
106,2,Fifty Shades Darker,Uni.,114581250,3714,46607250,3710,2/10/17,Fifty Shades,2017,2017,4.6,33
107,3,Fifty Shades Freed,Uni.,100407760,3768,38560195,3768,2/9/18,Fifty Shades,2018,2018,4.4,31
108,1,Finding Dory,BV,486295561,4305,135060273,4305,6/17/16,Finding Nemo,2016,2016,7.3,77
109,2,Finding Nemo,BV,339714978,3425,70251710,3374,5/30/03,Finding Nemo,2003,2003,8.1,90
110,1,Meet the Fockers,Uni.,279261160,3554,46120980,3518,12/22/04,Fockers,2004,2004,6.3,41
111,2,Meet the Parents,Uni.,166244045,2697,28623300,2614,10/6/00,Fockers,2000,2000,7.0,73
112,3,Little Fockers,Uni.,148438600,3675,30833665,3536,12/22/10,Fockers,2010,2010,5.5,27
113,1,G.I. Joe: The Rise of Cobra,Par.,150201498,4007,54713046,4007,8/7/09,G.I. Joe,2009,2009,5.8,32
114,2,G.I. Joe: Retaliation,Par.,122523060,3734,40501814,3719,3/28/13,G.I. Joe,2013,2013,5.8,41
115,1,Ghostbusters,Col.,229242989,1506,13578151,1339,6/8/84,Ghostbusters,1984,2016,7.8,60
116,2,Ghostbusters (2016),Sony,128350574,3963,46018755,3963,7/15/16,Ghostbusters,2016,2016,5.3,0
117,3,Ghostbusters II,Col.,112494738,2410,29472894,2410,6/16/89,Ghostbusters,1989,1989,6.5,56
118,1,Godzilla (2014),WB,200676069,3952,93188384,3952,5/16/14,Godzilla and Kong Universe,2014,2014,6.4,62
119,2,Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10/17,Godzilla and Kong Universe,2017,2017,6.7,62
120,1,Grown Ups,Sony,162001186,3534,40506562,3534,6/25/10,Grown Ups,2010,2010,6.0,30
121,2,Grown Ups 2,Sony,133668525,3491,41508572,3491,7/12/13,Grown Ups,2013,2013,5.4,19
122,1,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5/17,Guardians of the Galaxy,2017,2017,7.7,67
123,2,Guardians of the Galaxy,BV,333176600,4088,94320883,4080,8/1/14,Guardians of the Galaxy,2014,2014,8.1,76
124,1,The Hangover,WB,277322503,3545,44979319,3269,6/5/09,The Hangover,2009,2009,7.7,73
125,2,The Hangover Part II,WB,254464305,3675,85946294,3615,5/26/11,The Hangover,2011,2011,6.5,44
126,3,The Hangover Part III,WB,112200072,3565,41671198,3555,5/23/13,The Hangover,2013,2013,5.8,30
127,1,Harry Potter and the Deathly Hallows Part 2,WB,381011219,4375,169189427,4375,7/15/11,Harry Potter,2011,2016,8.1,87
128,2,Harry Potter and the Sorcerer's Stone,WB,317575550,3672,90294621,3672,11/16/01,Harry Potter,2001,2001,7.6,64
129,3,Harry Potter and the Half-Blood Prince,WB,301959197,4455,77835727,4325,7/15/09,Harry Potter,2009,2009,7.6,78
130,4,Harry Potter and the Deathly Hallows Part 1,WB,295983305,4125,125017372,4125,11/19/10,Harry Potter,2010,2016,7.7,65
131,5,Harry Potter and the Order of the Phoenix,WB,292004738,4285,77108414,4285,7/11/07,Harry Potter,2007,2007,7.5,71
132,6,Harry Potter and the Goblet of Fire,WB,290013036,3858,102685961,3858,11/18/05,Harry Potter,2005,2005,7.7,81
133,7,Harry Potter and the Chamber of Secrets,WB,261988482,3682,88357488,3682,11/15/02,Harry Potter,2002,2002,7.4,63
134,8,Harry Potter and the Prisoner of Azkaban,WB,249541069,3855,93687367,3855,6/4/04,Harry Potter,2004,2004,7.9,82
136,1,The Hobbit: An Unexpected Journey,WB (NL),303003568,4100,84617303,4045,12/14/12,The Hobbit,2012,2012,7.9,58
137,2,The Hobbit: The Desolation of Smaug,WB (NL),258366855,3928,73645197,3903,12/13/13,The Hobbit,2013,2013,7.9,66
138,3,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,3875,54724334,3875,12/17/14,The Hobbit,2014,2014,7.4,59
139,1,Home Alone,Fox,285761243,2173,17081997,1202,11/16/90,Home Alone,1990,1990,7.5,63
140,2,Home Alone 2: Lost in New York,Fox,173585516,2461,31126882,2222,11/20/92,Home Alone,1992,1992,6.6,0
141,3,Home Alone 3,Fox,30882515,2261,5085482,2147,12/12/97,Home Alone,1997,1997,4.4,0
142,1,Hotel Transylvania 2,Sony,169700110,3768,48464322,3754,9/25/15,Hotel Transylvania,2015,2015,6.7,44
143,2,Hotel Transylvania,Sony,148313048,3375,42522194,3349,9/28/12,Hotel Transylvania,2012,2012,7.1,47
144,1,How to Train Your Dragon,P/DW,217581231,4060,43732319,4055,3/26/10,How to Train Your Dragon,2010,2010,8.1,74
145,2,How to Train Your Dragon 2,Fox,177002924,4268,49451322,4253,6/13/14,How to Train Your Dragon,2014,2014,7.8,76
146,1,The Hunger Games: Catching Fire,LGF,424668047,4163,158074286,4163,11/22/13,The Hunger Games,2013,2013,7.5,76
147,2,The Hunger Games,LGF,408010692,4137,152535747,4137,3/23/12,The Hunger Games,2012,2012,7.2,68
148,3,The Hunger Games: Mockingjay - Part 1,LGF,337135885,4151,121897634,4151,11/21/14,The Hunger Games,2014,2014,6.7,64
149,4,The Hunger Games: Mockingjay - Part 2,LGF,281723902,4175,102665981,4175,11/20/15,The Hunger Games,2015,2015,6.5,65
150,1,Ice Age: Dawn of the Dinosaurs,Fox,196573705,4102,41690382,4099,7/1/09,Ice Age,2009,2009,7.0,50
151,2,Ice Age: The Meltdown,Fox,195330621,3969,68033544,3964,3/31/06,Ice Age,2006,2006,6.8,58
152,3,Ice Age,Fox,176387405,3345,46312454,3316,3/15/02,Ice Age,2002,2002,7.5,60
153,4,Ice Age: Continental Drift,Fox,161321843,3886,46629259,3881,7/13/12,Ice Age,2012,2012,6.6,49
154,5,Ice Age: Collision Course,Fox,64063008,3997,21373064,3992,7/22/16,Ice Age,2016,2016,5.7,34
155,1,Incredibles 2,BV,448265980,4410,182687905,4410,6/15/18,The Incredibles,2018,2018,8.3,80
156,2,The Incredibles,BV,261441092,3933,70467623,3933,11/5/04,The Incredibles,2004,2004,8.0,90
157,1,Independence Day,Fox,306169268,2977,50228264,2882,7/3/96,Independence Day,1996,1996,7.0,59
158,2,Independence Day: Resurgence,Fox,103144286,4130,41039944,4130,6/24/16,Independence Day,2016,2016,5.2,32
159,1,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,4264,100137835,4260,5/22/08,Indiana Jones,2008,2008,6.2,65
160,2,Raiders of the Lost Ark,Par.,212222025,1078,8305823,1078,6/12/81,Indiana Jones,1981,1981,8.5,85
161,3,Indiana Jones and the Last Crusade,Par.,197171806,2327,29355021,2327,5/24/89,Indiana Jones,1989,1989,8.3,65
162,4,Indiana Jones and the Temple of Doom,Par.,179870271,1687,25337110,1687,5/23/84,Indiana Jones,1984,1984,7.6,57
163,1,Iron Man 3,BV,409013994,4253,174144585,4253,5/3/13,Iron Man,2013,2013,7.2,62
164,2,Iron Man,Par.,318412101,4154,98618668,4105,5/2/08,Iron Man,2008,2008,7.9,79
165,3,Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/10,Iron Man,2010,2010,7.0,57
176,1,Jaws,Uni.,260000000,675,7061513,409,6/20/75,Jaws,1975,1975,8.0,87
177,2,Jaws 2,Uni.,77737272,640,9866023,640,6/16/78,Jaws,1978,1978,5.7,52
178,3,Jaws 3-D,Uni.,45517055,1311,13422500,1300,7/22/83,Jaws,1983,1983,3.6,27
179,4,Jaws IV: The Revenge,Uni.,20763013,1611,7154890,1606,7/17/87,Jaws,1987,1987,2.9,15
180,1,22 Jump Street,Sony,191719337,3426,57071445,3306,6/13/14,Jump Street,2014,2014,7.0,71
181,2,21 Jump Street,Sony,138447667,3148,36302612,3121,3/16/12,Jump Street,2012,2012,7.2,69
182,1,Jurassic World,Uni.,652270625,4291,208806270,4274,6/12/15,Jurassic Park,2015,2015,7.0,59
183,2,Jurassic Park,Uni.,357067947,2566,47026828,2404,6/11/93,Jurassic Park,1993,1993,8.1,68
184,3,Jurassic World: Fallen Kingdom,Uni.,274279755,4485,148024610,4475,6/22/18,Jurassic Park,2018,2018,6.6,51
185,4,The Lost World: Jurassic Park,Uni.,229086679,3565,72132785,3281,5/23/97,Jurassic Park,1997,1997,6.5,59
186,5,Jurassic Park III,Uni.,181171875,3462,50771645,3434,7/18/01,Jurassic Park,2001,2001,5.9,42
187,1,King Kong,Uni.,218080025,3627,50130145,3568,12/14/05,King Kong,2005,2005,7.2,81
188,2,Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10/17,King Kong,2017,2017,6.7,62
189,3,King Kong (1976),Par.,52614445,0,7023921,974,12/17/76,King Kong,1976,1976,5.9,0
190,4,King Kong Lives,DEG,4711220,1105,1172942,1105,12/19/86,King Kong,1986,1986,3.8,0
191,1,Kingsman: The Secret Service,Fox,128261724,3282,36206331,3204,2/13/15,Kingsman Franchise,2015,2014,7.7,60
